frame,bbox,upscale_text,upscale_morph_text
362,"1337,861,1541,974",. ক} 18434833458,. কয &' [8434833458
363,"1334,860,1540,971",,
364,"1326,857,1539,969",,
365,"1327,855,1536,965",,
366,"1329,853,1533,963",,
367,"1325,852,1529,961",33,
368,"1321,849,1529,961",,3
369,"1319,846,1527,960",,
370,"1319,845,1523,958",চু্_ .স 433,চুত . ময 4423388
371,"1315,844,1524,956",,
372,"1310,843,1524,956",,
373,"1307,842,1518,954",,
374,"1310,843,1513,952",চট না 143483|58,চট্ট মট্রো গ |33~83|58
375,"1308,841,1509,950",চট স্েদা 43-9 3৬8,ঢট্ সেেটো 93-93৬প
376,"1306,839,1507,949",3ন{3 [3{3-8338,৮ট হটরো [33483&8
377,"1301,838,1509,950",,
378,"1299,836,1505,948",,
379,"1298,834,1504,945",দ75 ৭ ১,চট্  ৭ ১
380,"1295,831,1500,943",এ 9!1 43_প9৬9],৩ 9!া] 943_92৬9
381,"1292,828,1497,942",(8!! 934!4,(ষু!! 93৬4
382,"1290,826,1499,941",,
383,"1288,826,1498,941",,
384,"1290,829,1494,940",চুট্ সেরা [১৬93৬গ,চুট সেেদটা ১৯-93৬৭
385,"1287,828,1493,939",৩ট যেেপ] ১3_৭৬গ,৩ট সেপ] ১২-৭>৬গ
386,"1283,827,1492,939",চট যেলগা ১{3-৭৯৬৭,চট্ মেলেট] ১৯-৭১৬৭
387,"1283,827,1488,939",চট্ পেেচেট] ১৯-৭2৬ধ,চট্ মেচেট্র]: ১৯-৭২৬৭
388,"1281,826,1487,938",৩ট 999াগ ১৮-৭3৬৭,৩ট 9ণা গ ১৮-৭২৬৭
389,"1281,826,1487,938",ঘট পেেটী 433-83৬8,চট পেেটী ৯3-83৬9
390,"1279,824,1486,938",425{0051 {$3-3৬8,৮ট বেদরেো {$3={3৬8
391,"1278,824,1482,937",চট 9েরচদা: 33-92৬প,চুট্ পেচদা 53-93৬9
392,"1276,823,1481,936",৩ট্ 99্ো ডা ১3-93৬9,চট্ শেেণ্েদা ডা ১3-৭3৬9
393,"1275,823,1481,936",ঢট পেটা 53_83৬প,চট পেটা ১3-৭3৬৭
394,"1275,823,1482,938",দট 9কট 3334838,ঢট 9ট 3-83৬8
395,"1272,823,1480,938",দট্র লোরা [33-83৬8,চট্র শেরা ১8-৭৬8
396,"1270,823,1477,936",চূট্ট সেেদনা: 3-93৬ধ,চূট্ট সেেপগা: ১২-৭3৬৭
397,"1270,822,1475,935",ঢটব 923-83৬8,ঢট ব ১১২-৭3৬৭
398,"1268,822,1474,935",চ88701 1433433৬8,চউম8 3 13383৬8
399,"1264,821,1473,935",,
400,"1254,821,1473,936",,
401,"1246,819,1470,937",,
402,"1245,819,1466,933",,
403,"1241,818,1457,932",,
404,"1230,815,1451,930",,
405,"1223,813,1437,928",,
406,"1212,812,1428,927",,
407,"1201,811,1412,923",,
408,"1185,811,1397,921",,
409,"1165,807,1382,919",,
410,"1151,806,1364,918",,
411,"1135,805,1344,916",,
412,"1115,804,1323,916",,
413,"1091,802,1303,915",,
414,"1070,806,1278,917",,
415,"1046,806,1252,916",,
416,"1018,806,1228,916",,
417,"985,806,1194,913",,
420,"898,804,1102,914",,
431,"557,797,787,927",,
432,"522,795,761,928",,
433,"494,793,738,931",,
456,"1687,599,1910,747",,
457,"1665,603,1883,746",,
459,"1622,604,1833,742",,
460,"1600,604,1813,738",,
461,"1579,599,1792,734",,
462,"1562,597,1771,731",,
463,"1544,598,1753,729",,
464,"1529,595,1735,725",,
465,"1514,591,1715,722",,
466,"1498,592,1697,720",,
467,"1480,588,1680,717",,
468,"1465,586,1665,715",,
469,"1449,589,1647,715",,
470,"1433,583,1632,712",,
471,"1419,580,1615,709",,
472,"1403,585,1598,706",,
473,"1389,577,1584,704",,
474,"1375,576,1568,702",,
475,"1358,583,1549,700",,
476,"1345,574,1536,700",,
477,"1332,573,1518,698",,"চ 4""888"
478,"1317,572,1504,698",,
479,"1304,573,1494,695",,
480,"1293,572,1478,695",,
481,"1280,570,1464,693","""55 ১>388",চরচ : ১>388
482,"1268,569,1454,692",,
483,"1257,570,1444,691",,
484,"1246,566,1431,690",38,5;  ১8338
485,"1237,565,1419,688",^^>38,চট ?$^>'88
486,"1228,566,1411,688","48$,""388","চটত 4১^>,688"
487,"1220,563,1402,687",ম_-5 83:>38,":;ম5 8১*>""88"
488,"1215,563,1396,686",চযু- 4_:>334,চ;গ-5 4_:>384
489,"1211,562,1393,685",চ.শদ 5 ?>398,চ 3দ5 ?১'>398
490,"1206,560,1388,685","স6335 43:>৭3""","মযদর $ 4১"">৭93"
491,"1201,560,1383,683",সটর ম্্চ ৫১-২৭৩,স্ট মেত্র ্চ ৫১-২৭৩
492,"1197,558,1379,681",চট্ট মেট্রো-চ ৫১-২৭৩,চট্ট মেট্রো-চ ৫১-২৭৩
493,"1195,557,1374,681",চট্ট মেট্রো-চ ৫১-২৭৩,চট্ট মেট্রো-চ ৫১-২৭৩
494,"1191,558,1369,680",চট্ট নেট্রো-চ ৫১-২৭৩,চট্ট মেট্রো-চ ৫১-২৭৩
495,"1186,559,1365,679",চট্র মেট্রোচ ৫১-২৭৩,চট্ট মেট্রো:্চ ৫১-২৭৩
496,"1180,558,1360,679",স্ট মেত্রো চ ৫১-২৭৩,ট মেট্রো চ ৫১-২৭৩
497,"1174,558,1356,678",চট্ট মেট্রো চ ৫১-২৭৩,চট্ট মে্রো চ ৫১-২৭৩
498,"1169,555,1349,677",চট্ট মেট্রো-চ ৫১-২৭৩,চট্ট মেট্রো-চ ৫১-২৭৩
499,"1165,557,1346,679",5ট $ বট 3:>৭3,ছ; রগ5 ৩১১:>৭33
500,"1162,556,1340,676",মনদ্র-্চ ৫১-২৭৬,মটম্র্5 ৫১-২৭৬
501,"1159,555,1335,674",চট্ট মেত্রেো:্চ ৫১-২৭৩,চট্ট মেট্রেো:্চ ৫১-২৭৩
502,"1151,555,1330,674",সট মদ্র:্চ ৫১-২৭৬,চট মেত্র:্চ ৫১-২৭৬
503,"1145,549,1324,673",ঢট মেঢ্রো ঢ ৫১-১৭,ঢট মেদ্রো চ ৫১-১৭
504,"1142,554,1317,673",চট্ মেট্রা্চ ৫১-২৭৩,চ্টট নেট্রা্চ ৫১-১৭৩
505,"1137,555,1311,674",চটমে-্চ ^১->৭99,চম ্চ ?১->৭99
506,"1130,554,1307,673",চঢরে ্চ ৫১-২৭৬,চটমেটর্চ ৫১-২৭৬
507,"1123,551,1300,672",ম;মেদর-্5 ?১:>৭4,চ মেতে-্চ ?১:>৭4
508,"1117,553,1292,671",স্ট মেদ্র্চ ৫১-২৭৩,চ্ট্র মেত্র:্চ ৫১-২৭৩
509,"1111,553,1284,671",চট; কেট্রো্চ ৫১-২৭৩,চট্ট ফেট্রো-চ ৫১-২৭৩
